country_code,year,gdp_meur,population,country_name,gdp_per_capita_eur,gdp_per_capita_usd,us_gdp_pc,ppp_rate
ES,2022,1375863.0,47486843.0,Spain,28973.562213853635,31291.447190961928,,0.7363
ES,2023,1497761.0,48085361.0,Spain,31147.962058556655,33639.79902324119,,0.7286
ES,2024,1594330.0,48619695.0,Spain,32791.85523479734,35415.20365358113,,0.718
ES,2025,1687152.0,49128297.0,Spain,34341.75623877213,37089.0967378739,,0.7912
EU27_2020,1995,6341270.6,423960534.0,EU27,14957.219107569103,16153.796636174631,,1.1076
EU27_2020,1996,6640109.1,424641798.0,EU27,15636.965393595097,16887.922625082705,,1.1048
EU27_2020,1997,6823243.4,425273491.0,EU27,16044.365671501495,17327.914925221616,,1.0726
EU27_2020,1998,7113359.7,427482962.0,EU27,16640.10108547905,17971.309172317375,,1.063
EU27_2020,1999,7442817.7,427998269.0,EU27,17389.831312612154,18781.017817621127,,1.0688
EU27_2020,2000,7884970.7,428473834.0,EU27,18402.455586121043,19874.652033010727,,1.1124
EU27_2020,2001,8260284.9,429240746.0,EU27,19243.944049990074,20783.45957398928,,1.1253
EU27_2020,2002,8559614.0,429723142.0,EU27,19918.90397189733,21512.416289649118,,1.1128
EU27_2020,2003,8792709.3,431190184.0,EU27,20391.719538773177,22023.057101875034,,1.116
EU27_2020,2004,9195744.5,432762039.0,EU27,21248.96287402879,22948.879903951096,,1.104
EU27_2020,2005,9600083.5,434416272.0,EU27,22098.811943213765,23866.716898670868,,1.074
EU27_2020,2006,10160793.1,435816236.0,EU27,23314.39781422003,25179.549639357632,,1.0844
EU27_2020,2007,10788346.2,437227496.0,EU27,24674.445909046855,26648.401581770606,,1.0701
EU27_2020,2008,11136839.3,438725386.0,EU27,25384.53359523627,27415.29628285517,,1.1113
EU27_2020,2009,10650843.1,440047892.0,EU27,24203.82711434509,26140.1332834927,,1.1357
EU27_2020,2010,11047423.0,440660421.0,EU27,25070.150332380315,27075.762358970744,,1.1129
EU27_2020,2011,11407286.7,439942305.0,EU27,25929.051537791984,28003.375660815345,,1.0959
EU27_2020,2012,11466415.0,440552661.0,EU27,26027.342506506844,28109.529907027394,,1.0572
EU27_2020,2013,11594282.1,441739930.0,EU27,26246.850946890856,28346.599022642127,,0.9318
EU27_2020,2014,11867202.4,442268078.0,EU27,26832.599932749385,28979.207927369338,,0.9528
EU27_2020,2015,12308193.2,442924865.0,EU27,27788.44488669653,30011.520477632253,,0.9309
EU27_2020,2016,12638272.4,444003268.0,EU27,28464.367969471794,30741.51740702954,,0.9582
EU27_2020,2017,13169370.9,444670605.0,EU27,29616.01408305368,31985.295209697975,,0.9577
EU27_2020,2018,13628646.5,445301376.0,EU27,30605.44439009324,33053.8799413007,,0.9642
EU27_2020,2019,14122772.4,446149924.0,EU27,31654.76814022723,34187.149591445406,,0.9687
EU27_2020,2020,13578815.3,447030024.0,EU27,30375.622600239487,32805.67240825865,,0.9674
EU27_2020,2021,14792278.2,445891011.0,EU27,33174.649937044815,35828.621932008406,,0.9397
EU27_2020,2022,16170154.5,445972024.0,EU27,36258.22614379955,39158.884235303514,,0.9215
EU27_2020,2023,17264212.6,447695350.0,EU27,38562.41214030926,41647.405111534004,,0.902
EU27_2020,2024,18042085.3,449306184.0,EU27,40155.435074091925,43367.86988001928,,0.8792
EU27_2020,2025,18831892.5,450646971.0,EU27,41788.57001570748,45131.65561696408,,0.9627
FI,1980,38693.8,4771292.0,Finland,8109.711164187814,8758.48805732284,,0.9131
FI,1981,47215.0,4787778.0,Finland,9861.568351748974,10650.493819888892,,0.9127
FI,1982,54051.0,4812150.0,Finland,11232.193510177363,12130.768990991553,,0.933
FI,1983,57359.4,4841715.0,Finland,11846.917879305163,12794.671309649577,,0.9264
FI,1984,67262.1,4869858.0,Finland,13811.922236746947,14916.876015686703,,0.9577
FI,1985,73748.1,4893748.0,Finland,15069.8605649494,16275.449410145353,,0.9558
FI,1986,74834.1,4910664.0,Finland,15239.100048384495,16458.228052255254,,1.0116
FI,1987,79462.3,4925644.0,Finland,16132.367666035141,17422.957079317952,,1.0286
FI,1988,92259.3,4938602.0,Finland,18681.25838040806,20175.75905084071,,1.0637
FI,1989,108108.0,4954359.0,Finland,21820.784484935386,23566.447243730217,,1.1176
FI,1990,111401.0,4974383.0,Finland,22394.9382265097,24186.533284630477,,1.1256
FI,1991,103308.7,4998478.0,Finland,20668.031348742556,22321.473856641962,,1.0727
FI,1992,86811.0,5029002.0,Finland,17262.073071356903,18643.038917065456,,0.9032
FI,1993,76014.5,5054982.0,Finland,15037.541182144665,16240.544476716239,,0.7749
FI,1994,87058.1,5077912.0,Finland,17144.468041194887,18516.025484490478,,0.8353
FI,1995,102544.7,5098754.0,Finland,20111.717490194664,21720.654889410238,,1.4893
FI,1996,104034.1,5116826.0,Finland,20331.764261673154,21958.305402607006,,1.4365
FI,1997,111990.0,5132320.0,Finland,21820.541197742932,23566.184493562367,,1.4587
FI,1998,119690.6,5147349.0,Finland,23252.862784318684,25113.091807064182,,1.4854
FI,1999,126888.0,5159646.0,Finland,24592.38482640088,26559.775612512953,,1.5115
FI,2000,136386.0,5171302.0,Finland,26373.628923625038,28483.519237515044,,1.5943
FI,2001,144613.0,5181115.0,Finland,27911.559577426866,30144.484343621018,,1.6322
FI,2002,148440.0,5194901.0,Finland,28574.173020814065,30860.10686247919,,1.5963
FI,2003,151714.0,5206295.0,Finland,29140.49242311471,31471.73181696389,,1.5947
FI,2004,158741.0,5219732.0,Finland,30411.714624428994,32844.65179438332,,1.5801
FI,2005,164666.0,5236611.0,Finland,31445.146488826456,33960.75820793257,,1.5282
FI,2006,172861.0,5255580.0,Finland,32890.946384604555,35522.22209537292,,1.5298
FI,2007,187059.0,5276955.0,Finland,35448.28409565744,38284.14682331003,,1.5374
FI,2008,194253.0,5300484.0,Finland,36648.16269608587,39580.01571177274,,1.6045
FI,2009,181735.0,5326314.0,Finland,34120.2189731961,36849.836491051785,,1.6009
FI,2010,188147.0,5351427.0,Finland,35158.28581796968,37970.94868340725,,1.5607
FI,2011,197655.0,5375276.0,Finland,36771.135100783664,39712.82590884636,,1.5541
FI,2012,200378.0,5401267.0,Finland,37098.332668983036,40066.19928250168,,1.5069
FI,2013,203497.0,5426674.0,Finland,37499.39649958704,40499.348219554005,,1.3313
FI,2014,205855.0,5451270.0,Finland,37762.75987063565,40783.78066028651,,1.3409
