idx,title,company,region,ccaa,role,experience,salary_est_eur,regional_mult,is_data,is_it_software,gdp_per_capita
80,Data Analyst (m|f|d) at Dein Traumjob wartet!,join.com,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
81,Data Engineer,Pronovias,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
82,Data Analyst - Scheduling (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
83,Game Data Analyst,Socialpoint,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
84,Desarrollador Big Data (Girona),Accenture España,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
85,Incubation Senior Finance & Data Analyst,HP,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
86,GO! Graduate IT & Data Analysis,Essity,Catalonia,Catalonia,data_analyst,Junior,27926.6,1.0741,True,False,28590.0
87,Data Analyst - A/B testing,eDreams ODIGEO,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
88,Master Data Analyst,Tech Data,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
89,Data Engineer (They/He/She),Adsmurai,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
90,Senior Quantitative Analyst,Adecco,Catalonia,Catalonia,backend,Senior,51556.8,1.0741,True,False,28590.0
91,Finance Data Analyst (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
92,Data analyst - Food Solutions (They/She/He),Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
93,Data Analyst - Qcommerce - Sales,Glovo,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
94,Data Engineer,Sanofi,Catalonia,Catalonia,data_engineer,Mid,46723.35,1.0741,True,True,28590.0
95,Mid / Senior Data Analyst - Central Data team,Factorial HR,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
96,Data & Insights Analyst,Nestlé Nespresso SA,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
97,Data Analyst,Newrest,Catalonia,Catalonia,data_analyst,Mid,39204.65,1.0741,True,False,28590.0
98,Senior Data Analyst,Veepee,Catalonia,Catalonia,data_analyst,Senior,52630.9,1.0741,True,False,28590.0
