sector,sector_id,year,sexo,salario_bruto_anual,muestra_pequena
"E Suministro de agua, saneamiento, residuos",E,2021,Ambos sexos,29277.93,False
"E Suministro de agua, saneamiento, residuos",E,2021,Mujeres,26520.12,False
"E Suministro de agua, saneamiento, residuos",E,2021,Hombres,29983.61,False
"E Suministro de agua, saneamiento, residuos",E,2020,Ambos sexos,27854.25,False
"E Suministro de agua, saneamiento, residuos",E,2020,Mujeres,25020.33,False
"E Suministro de agua, saneamiento, residuos",E,2020,Hombres,28548.11,False
"E Suministro de agua, saneamiento, residuos",E,2019,Ambos sexos,27486.42,False
"E Suministro de agua, saneamiento, residuos",E,2019,Mujeres,24622.26,False
"E Suministro de agua, saneamiento, residuos",E,2019,Hombres,28214.35,False
"E Suministro de agua, saneamiento, residuos",E,2018,Ambos sexos,27289.63,False
"E Suministro de agua, saneamiento, residuos",E,2018,Mujeres,24302.84,False
"E Suministro de agua, saneamiento, residuos",E,2018,Hombres,28074.77,False
"E Suministro de agua, saneamiento, residuos",E,2017,Ambos sexos,26937.32,False
"E Suministro de agua, saneamiento, residuos",E,2017,Mujeres,24010.74,False
"E Suministro de agua, saneamiento, residuos",E,2017,Hombres,27628.19,False
"E Suministro de agua, saneamiento, residuos",E,2016,Ambos sexos,26319.91,False
"E Suministro de agua, saneamiento, residuos",E,2016,Mujeres,23184.64,False
"E Suministro de agua, saneamiento, residuos",E,2016,Hombres,27154.16,False
"E Suministro de agua, saneamiento, residuos",E,2015,Ambos sexos,26340.27,False
"E Suministro de agua, saneamiento, residuos",E,2015,Mujeres,22616.21,False
"E Suministro de agua, saneamiento, residuos",E,2015,Hombres,27340.59,False
"E Suministro de agua, saneamiento, residuos",E,2014,Ambos sexos,25959.23,False
"E Suministro de agua, saneamiento, residuos",E,2014,Mujeres,22345.48,False
"E Suministro de agua, saneamiento, residuos",E,2014,Hombres,26846.4,False
"E Suministro de agua, saneamiento, residuos",E,2013,Ambos sexos,25291.38,False
"E Suministro de agua, saneamiento, residuos",E,2013,Mujeres,21693.7,False
"E Suministro de agua, saneamiento, residuos",E,2013,Hombres,26208.7,False
"E Suministro de agua, saneamiento, residuos",E,2012,Ambos sexos,25188.51,False
"E Suministro de agua, saneamiento, residuos",E,2012,Mujeres,21670.86,False
"E Suministro de agua, saneamiento, residuos",E,2012,Hombres,26070.16,False
"E Suministro de agua, saneamiento, residuos",E,2011,Ambos sexos,25570.26,False
"E Suministro de agua, saneamiento, residuos",E,2011,Mujeres,21065.6,False
"E Suministro de agua, saneamiento, residuos",E,2011,Hombres,26724.73,False
"E Suministro de agua, saneamiento, residuos",E,2010,Ambos sexos,24972.27,False
"E Suministro de agua, saneamiento, residuos",E,2010,Mujeres,20981.76,False
"E Suministro de agua, saneamiento, residuos",E,2010,Hombres,26020.4,False
"E Suministro de agua, saneamiento, residuos",E,2009,Ambos sexos,23617.24,False
"E Suministro de agua, saneamiento, residuos",E,2009,Mujeres,19280.18,False
"E Suministro de agua, saneamiento, residuos",E,2009,Hombres,24745.68,False
"E Suministro de agua, saneamiento, residuos",E,2008,Ambos sexos,22590.49,False
"E Suministro de agua, saneamiento, residuos",E,2008,Mujeres,18508.17,False
"E Suministro de agua, saneamiento, residuos",E,2008,Hombres,23720.73,False
F Construccion,F,2024,Ambos sexos,26965.09,False
