Title,Experience Level,Remote Status,Normalized Salary,Views,Applies,Location,Company Name,Formatted Work Type,Formatted Experience Level,Max Salary,Med Salary,Min Salary,Pay Period,Currency,Zip Code,Fips,City,Original Listed Time
director of product strategy &amp; analytics,Director,Unknown,190000.0,4.0,,"atlanta, ga",inspyr solutions,Full-time,Director,200000.0,,180000.0,YEARLY,USD,30303.0,13121.0,atlanta,1713564328000.0
ai/ml genai engineer,Mid-Senior,Unknown,,2.0,,"irving, tx",aptask,Full-time,Mid-Senior level,,,,,,75038.0,48113.0,irving,1713564035000.0
senior ml engineer,Mid-Senior,Remote,,4.0,,"san mateo, ca",notable,Full-time,Mid-Senior level,,,,,,94401.0,6081.0,san mateo,1713565729000.0
"senior product manager, machine learning frameworks, google cloud",Mid-Senior,Unknown,210000.0,3.0,,"mountain view, ca",google,Full-time,Mid-Senior level,252000.0,,168000.0,YEARLY,USD,94040.0,6085.0,mountain view,1713565569000.0
data scientist,Unknown,Remote,180000.0,4.0,,"melbourne, fl",booz allen hamilton,Full-time,,250000.0,,110000.0,YEARLY,USD,32901.0,12009.0,melbourne,1713484800000.0
data analyst (avp position),Entry Level,Unknown,112500.0,3.0,,"tampa, fl",mufg,Full-time,Entry level,125000.0,,100000.0,YEARLY,USD,33602.0,12057.0,tampa,1713566153000.0
"software engineering manager, machine learning, large language models",Unknown,Unknown,236500.0,4.0,,"mountain view, ca",google,Full-time,,284000.0,,189000.0,YEARLY,USD,94040.0,6085.0,mountain view,1713565633000.0
remote data architect,Mid-Senior,Remote,162360.0,4.0,,"illinois, united states",invitation homes,Full-time,Mid-Senior level,205920.0,,118800.0,YEARLY,USD,,,illinois,1713566273000.0
data scientist,Unknown,Remote,,,,united states,rteams,Full-time,,,,,,,,,united states,1713571429000.0
data architect,Unknown,Unknown,,4.0,,"hickam village, hi",booz allen hamilton,Full-time,,,,,,,,,hickam village,1713484800000.0
"business intelligence engineer, aces analytics",Unknown,Unknown,,5.0,,"bellevue, wa",amazon,Full-time,,,,,,,98004.0,53033.0,bellevue,1711411200000.0
"senior business intelligence engineer, ml-horizon",Mid-Senior,Unknown,,4.0,,"dallas, tx",amazon,Full-time,Mid-Senior level,,,,,,75201.0,48113.0,dallas,1711411208000.0
senior machine learning engineer,Mid-Senior,Unknown,,,,"california, united states",chabeztech llc,Contract,Mid-Senior level,,,,,,,,california,1713570831000.0
business data analyst,Entry Level,Unknown,88400.0,,,"springdale, ar",infogain,Contract,Entry level,45.0,,40.0,HOURLY,USD,72762.0,,springdale,1713571841000.0
data analyst/workstation support,Associate,Unknown,,12.0,3.0,"columbia, sc",revolution technologies,Full-time,Associate,,,,,,29201.0,45079.0,columbia,1713449170000.0
senior data engineer,Mid-Senior,Remote,,32.0,16.0,united states,neerinfo solutions,Contract,Mid-Senior level,,,,,,,,united states,1713449682000.0
data analyst,Entry Level,Unknown,,375.0,135.0,"mettawa, il",abbvie,Full-time,Entry level,,,,,,61350.0,17099.0,mettawa,1713448490000.0
ai - machine learning architect with azure,Mid-Senior,Unknown,176800.0,64.0,14.0,washington dc-baltimore area,mindlance,Contract,Mid-Senior level,90.0,,80.0,HOURLY,USD,,,washington dc-baltimore area,1713449796000.0
senior data scientist,Mid-Senior,Unknown,155000.0,29.0,,"emeryville, ca",biomade,Full-time,Mid-Senior level,180000.0,,130000.0,YEARLY,USD,94608.0,6001.0,emeryville,1713449935000.0
business data analyst,Mid-Senior,Unknown,124800.0,40.0,19.0,"san diego, ca",rose international,Temporary,Mid-Senior level,65.0,,55.0,HOURLY,USD,92101.0,6073.0,san diego,1713451191000.0
senior business intelligence analyst,Mid-Senior,Remote,,27.0,10.0,united states,pdi technologies,Full-time,Mid-Senior level,,,,,,,,united states,1713451569000.0
senior data analyst,Unknown,Unknown,165450.0,121.0,44.0,"dallas, tx",at&t,Full-time,,190900.0,,140000.0,YEARLY,USD,75201.0,48113.0,dallas,1713398400000.0
llm data scientist,Entry Level,Unknown,,60.0,23.0,"boston, ma",ss&c technologies,Full-time,Entry level,,,,,,2108.0,25025.0,boston,1713452116000.0
pricing analytics manager,Unknown,Unknown,,4.0,,"milwaukee, wi",uline,Full-time,,,,,,,53202.0,55079.0,milwaukee,1713451881000.0
online data analyst,Entry Level,Remote,,13.0,,"bennington, vt",telus international,Part-time,Entry level,,,,,,5201.0,50003.0,bennington,1713452942000.0
online data analyst,Entry Level,Remote,,3.0,,"garland, tx",telus international,Part-time,Entry level,,,,,,75040.0,48113.0,garland,1713452201000.0
master data analyst,Associate,Unknown,,13.0,2.0,greater minneapolis-st. paul area,globalsource it,Contract,Associate,,,,,,,,greater minneapolis-st. paul area,1713452422000.0
online data analyst,Entry Level,Remote,,23.0,5.0,"vermont, united states",telus international,Part-time,Entry level,,,,,,,,vermont,1713452806000.0
data analyst with security clearance,Entry Level,Unknown,,6.0,,"quantico, va",clearancejobs,Full-time,Entry level,,,,,,22134.0,51153.0,quantico,1713312000000.0
online data analyst,Entry Level,Remote,,33.0,7.0,"texas, united states",telus international,Part-time,Entry level,,,,,,,,texas,1713452054000.0
online data analyst,Entry Level,Remote,,13.0,2.0,"manchester, vt",telus international,Part-time,Entry level,,,,,,,,manchester,1713452997000.0
manager of inventory accounting & analytics,Mid-Senior,Unknown,,22.0,3.0,"brockton, ma",w.b. mason company inc.,Full-time,Mid-Senior level,,,,,,2301.0,,brockton,1713452978000.0
data engineer,Mid-Senior,Unknown,,723.0,389.0,"merrimack county, nh",compunnel inc.,Contract,Mid-Senior level,,,,,,3054.0,33011.0,merrimack county,1713453573000.0
online data analyst,Entry Level,Remote,,14.0,4.0,"brownsville, tx",telus international,Part-time,Entry level,,,,,,78520.0,48061.0,brownsville,1713452297000.0
online data analyst,Entry Level,Remote,,21.0,,"stowe, vt",telus international,Part-time,Entry level,,,,,,5672.0,50015.0,stowe,1713452875000.0
online data analyst,Entry Level,Remote,,31.0,5.0,"carrollton, tx",telus international,Part-time,Entry level,,,,,,75006.0,48113.0,carrollton,1713452444000.0
online data analyst,Entry Level,Remote,,20.0,3.0,"college station, tx",telus international,Part-time,Entry level,,,,,,77840.0,48041.0,college station,1713452566000.0
