dataset,job_title,role_normalized,seniority,salary_usd,country,country_name,year_x,source,country_eurostat,year_int,country_code,year_y,gdp_per_capita_usd,ppp_rate,salary_ppp_usd
LinkedIn,junior data scientist/java programmer,Data Scientist,Junior,102500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/ java programmer,Data Scientist,Junior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"retail data analyst | hybrid - aurora, il",Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/software developer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,junior java programmer/data scientist,Data Scientist,Junior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analytics engineer,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,junior data scientist/ data engineer,Data Scientist,Junior,99500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"lead analytic consultant, analytics",Data General,Lead,152500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior machine learning engineer, generative ai",ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer - itp-a, exempt",Data Engineer,Senior,134919.2,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, data engineering",Data Engineer,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,clinical adoption data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,technical system health data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,edw architect i - is edw and analytics - full time 8 hour days (exempt) (non-union),Data General,,126955.0,US,United States,2024,,US,2024,,,,,
LinkedIn,ai/ml engineer (contract) (hybrid) – 4313,ML Engineer,,166400.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. analyst-telecom analytics,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,"vendor manager, machine learning data operations, gtech",ML Engineer,Manager,122000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"director, fraud analytics",Data General,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,aws data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,java-big data architect,Data Architect,,80.0,US,United States,2024,,US,2024,,,,,
LinkedIn,business intelligence analyst ii,BI Analyst,Mid,97250.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. analyst, digital analytics, lac",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence analyst,BI Analyst,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineer,Data Engineer,,117500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, data & analytics",Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,risk management - fraud risk strategic analytics - associate,Data General,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst with marketing analytics exp. (1039812),Data Analyst,,110240.0,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,55000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning engineer,ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior machine learning engineer,ML Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,gcp data engineer,Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,sr assortment analytics analyst,Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist,Data Scientist,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data engineering manager,Data Engineer,Manager,200000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,analytics summer intern,Data General,Intern,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ca,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-il,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-va,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-ny,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer - python,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-tx,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior digital analytics specialist (technical),Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior etl data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst-wa,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,lead ai engineer,AI Engineer,Lead,,US,United States,2024,,US,2024,,,,,
LinkedIn,senior data engineer,Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,machine learning engineer,ML Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,data analyst,Data Analyst,,78000.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer (azure, python, sql)",Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,big data engineer with aws (only w2 candidates),Data Engineer,,,US,United States,2024,,US,2024,,,,,
LinkedIn,income and withholding tax data analyst,Data Analyst,,68328.0,US,United States,2024,,US,2024,,,,,
LinkedIn,"manager, data and analytics - supply chain",Supply Chain Analyst,Manager,112500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior business intelligence analyst,BI Analyst,Senior,137500.0,US,United States,2024,,US,2024,,,,,
LinkedIn,senior manager analytics,Data General,Manager,,US,United States,2024,,US,2024,,,,,
LinkedIn,principal ai engineer (virtual),AI Engineer,Principal,,US,United States,2024,,US,2024,,,,,
LinkedIn,"architect, machine learning, field cto",ML Engineer,,150600.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sales data analyst/consultant,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,director of business intelligence,BI Analyst,Director,,US,United States,2024,,US,2024,,,,,
LinkedIn,"sr. associate, revenue cycle analytics",Data General,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,business data analyst – foreign exchange,Data Analyst,,,US,United States,2024,,US,2024,,,,,
LinkedIn,"senior data engineer (java, spring boot, aws)",Data Engineer,Senior,,US,United States,2024,,US,2024,,,,,
LinkedIn,data scientist or senior,Data Scientist,Senior,91650.0,US,United States,2024,,US,2024,,,,,
LinkedIn,sr. data engineer,Data Engineer,Senior,125000.0,US,United States,2024,,US,2024,,,,,
